sample_id,source,cell_type,method,description,path_R1,path_R2,md5sum_R1,md5sum_R2,internal_path,sequencing_facility,batch,batch_id,target_depth,indexing_pcr_cycles,ng_dna_for_prep,ng_unmethylated_lambda,sorted_cells,ng_sorted_dna
Healthy_BX00_67-1_Fresh_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-2_Fresh_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-3_Fresh_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-1_FRZ-C_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-2_FRZ-C_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-3_FRZ-C_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-1_FRZ-D_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-2_FRZ-D_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_BX00_67-3_FRZ-D_bsseq,pbmc,bulk,bsseq,Missing raw data,,,,,,mgi,BX00,,15x,9,100,0.5,,
Healthy_B14_H1_bsseq,plasma,cfdna,bsseq,,H1-cfDNA_R1_001.fastq.gz,H1-cfDNA_R2_001.fastq.gz,73c63f1acfa8d5a1f0a43216794a8969,0a3f8d551030f5ace15f36a012a99676,xt2/instrument_data/med_genome/portal.us.medgenome.com/P2000525_09152019/FASTQ,medgenome,B14,P2000525_09152019,30x,9,30,0.15,,
Healthy_B14_H2_bsseq,plasma,cfdna,bsseq,,H2-cfDNA_R1_001.fastq.gz,H2-cfDNA_R2_001.fastq.gz,254dc268e8721400cd35099442d083bc,6f700b4d9e4947a607eed2333a43b8ef,xt2/instrument_data/med_genome/portal.us.medgenome.com/P2000525_09152019/FASTQ,medgenome,B14,P2000525_09152019,30x,9,60,0.3,,
Healthy_B14_H3_bsseq,plasma,cfdna,bsseq,,H3-cfDNA_R1_001.fastq.gz,H3-cfDNA_R2_001.fastq.gz,7c839c13acc51b2725d79339eab7fb45,42d869ef52324dd529d4b7feb95e7067,xt2/instrument_data/med_genome/portal.us.medgenome.com/P2000525_09152019/FASTQ,medgenome,B14,P2000525_09152019,30x,9,90,0.45,,
Healthy_B14_H4_bsseq,plasma,cfdna,bsseq,,H4-cfDNA_R1_001.fastq.gz,H4-cfDNA_R2_001.fastq.gz,cfef3c25c0b2027ba570a57450af6a55,90459fb505b36c65bb6a7fd73c49e405,xt2/instrument_data/med_genome/portal.us.medgenome.com/P2000525_09152019/FASTQ,medgenome,B14,P2000525_09152019,30x,7,120,0.6,,
Healthy_B01_PH1_bsseq,plasma,cfdna,bsseq,,PH1_R1.fastq.gz,PH1_R2.fastq.gz,f4f1dfc3f086545872458dde115d3505,100156ea7c252d57af6bcebd15997031,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B01_72_bsseq,plasma,cfdna,bsseq,,72_R1.fastq.gz,72_R2.fastq.gz,5afa2877bb5a8cb76f6f4ac9d848132d,2fd81d516d385ac5b477226fe20f710d,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B01_PH4_bsseq,plasma,cfdna,bsseq,,PH4_R1.fastq.gz,PH4_R2.fastq.gz,05920afb863cffb1e602c2029fa9ef99,8114fdc68b876c70b834424130595eb7,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B01_PH7_bsseq,plasma,cfdna,bsseq,,PH7_R1.fastq.gz,PH7_R2.fastq.gz,1dc36983e2bea59f74f7b1885e39b04a,d45e75dbcf8c47745ba030e782d2e75d,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B01_66_bsseq,plasma,cfdna,bsseq,,66_R1.fastq.gz,66_R2.fastq.gz,40d17d00fb5b903262fb5cb24d166e41,75ba9db8d2c1dd42f9abbd32d7ad2c4d,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B01_67_bsseq,plasma,cfdna,bsseq,,67_R1.fastq.gz,67_R2.fastq.gz,7c10f4536cb138c4612da1879545c090,df47c92c305b27384292f3fc7321982d,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B01_PH16_bsseq,plasma,cfdna,bsseq,,PH16_R1.fastq.gz,PH16_R2.fastq.gz,6bcd6390bd78395cbe54638b68651821,5631efdd800f58ff715a3580f038c96b,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B01_PH17_bsseq,plasma,cfdna,bsseq,,PH17_R1.fastq.gz,PH17_R2.fastq.gz,0dfd3cf2baaf8b49a35a3f4f1f6212f9,c4333bfe646706c5683d27ea154993c3,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,B01,P2001083_04072020,30x,,90,0.45,,
Healthy_B09_Nu-05_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-05-cfDNA_R1.fastq.gz,NU-05-cfDNA_R2.fastq.gz,f4bf50d252a6deb045c629b59ffa65a0,3d11c7944a45761e9e4f21e9664de9fe,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,90,0.45,,
Healthy_B09_Nu-14_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-14-cfDNA_R1.fastq.gz,NU-14-cfDNA_R2.fastq.gz,96663dea4a580c291c42bba28edfc041,214fccd60d6edc2b70023b521ff3f351,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,90,0.45,,
Healthy_B09_Nu-31_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-31-cfDNA_R1.fastq.gz,NU-31-cfDNA_R2.fastq.gz,07b9c65e4574d07a2976d1b2e33633f8,177d392b25f8ffc2a700f43d97aefb6c,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,90,0.45,,
Healthy_B09_Nu-24_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-24-cfDNA_R1.fastq.gz,NU-24-cfDNA_R2.fastq.gz,fcef66adf2f80f09df3d71120692ab76,6feefbb826644e15421c8e31922a6516,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,66,0.33,,
Healthy_B09_Nu-35_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-35-cfDNA_R1.fastq.gz,NU-35-cfDNA_R2.fastq.gz,98e4b7c4fc5d31846326b44f839ed5b5,e3ec2c1f687be7478fbb2ebaadf648c9,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,61,0.305,,
Healthy_B09_Nu-41_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-41-cfDNA_R1.fastq.gz,NU-41-cfDNA_R2.fastq.gz,5954375861afb4a2f25c1d350045600c,8b12d556cd81b650b4bd835ed76c7be4,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,63.5,0.3175,,
Healthy_B09_Nu-20_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-20-cfDNA_R1.fastq.gz,NU-20-cfDNA_R2.fastq.gz,d62b7f04e681cc0c2cd8975f951ecc18,30385c9b26182abf9952c53cf7d95b8d,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,57.2,0.286,,
Healthy_B09_Nu-44_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-44-cfDNA_R1.fastq.gz,NU-44-cfDNA_R2.fastq.gz,58eda5a5141da455117b2b1693628c70,d95807f0b18c98eeb5b05d4f8d04ce12,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,108.8,0.544,,
Healthy_B09_Nu-45_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-45-cfDNA_R1.fastq.gz,NU-45-cfDNA_R2.fastq.gz,7e708aded2288a55227189585dedef85,acc033437438201137a9923111984723,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,82.8,0.414,,
Healthy_B09_Nu-46_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-46-cfDNA_R1.fastq.gz,NU-46-cfDNA_R2.fastq.gz,cd2178ed263000c65910895ad2513c20,ccfe460ba14f399c7814cb8b5c864323,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,77,0.385,,
Healthy_B09_Nu-47_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-47-cfDNA_R1.fastq.gz,NU-47-cfDNA_R2.fastq.gz,bd141ea281b253779aef9c3742cd65a7,46880885ee9a9c71717c9c28b6434388,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,47.6,0.238,,
Healthy_B09_Nu-48_cfDNA_bsseq,plasma,cfdna,bsseq,,NU-48-cfDNA_R1.fastq.gz,NU-48-cfDNA_R2.fastq.gz,393984e4b9a3be1d830edcc03be0ce8f,8933e8c257bb9356d3a9e587eaa17e36,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,82.6,0.413,,
Healthy_B09_Nu-05_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-05-Bulk-WB_R1.fastq.gz,NU-05-Bulk-WB_R2.fastq.gz,302536b030052dafbf3a3e1dccf5d86a,2627b8c5cfa60fccb785170e193224d0,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-14_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-14-Bulk-WB_R1.fastq.gz,NU-14-Bulk-WB_R2.fastq.gz,69ebb6f388b572262aee3e9dd1334775,9f4f758b0f1ba0c21b7dd4f39716f032,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-31_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-31-Bulk-WB_R1.fastq.gz,NU-31-Bulk-WB_R2.fastq.gz,aac0711b8e0ed03f50f1407e33a9718c,345ea2d4752f465d29703e3c02ac0802,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-24_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-24-Bulk-WB_R1.fastq.gz,NU-24-Bulk-WB_R2.fastq.gz,302c3d9b9d2b6923b3250695038ec016,e6d54d02c6074b2875d64afb1ce57c94,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-35_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-35-Bulk-WB_R1.fastq.gz,NU-35-Bulk-WB_R2.fastq.gz,9f1a29d8849a13ce093d088677380aed,0527a7eede8e9007c0b4f998e562f4ed,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-41_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-41-Bulk-WB_R1.fastq.gz,NU-41-Bulk-WB_R2.fastq.gz,3abf6351451485f46575c0959115451a,c3bc153d46781fed0a9c686c04e5bd35,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-20_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-20-Bulk-WB_R1.fastq.gz,NU-20-Bulk-WB_R2.fastq.gz,d098bb2ef19a0851b2def9e44a7328d9,0b9bbe00f4c26979b9e146bea4c2e396,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
