sample_id,source,cell_type,method,description,path_R1,path_R2,md5sum_R1,md5sum_R2,internal_path,sequencing_facility,batch_id,target_depth,indexing_pcr_cycles,ng_dna_for_prep,ng_unmethylated_lambda
Healthy_67-1_Fresh,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-2_Fresh,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-3_Fresh,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-1_FRZ-C,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-2_FRZ-C,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-3_FRZ-C,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-1_FRZ-D,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-2_FRZ-D,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_67-3_FRZ-D,pbmc,bulk,bsseq,,,,,,,mgi,,15x,9,100,0.5
Healthy_H1,plasma,cfdna,bsseq,,,,,,,medgenome,,30x,9,30,0.15
Healthy_H2,plasma,cfdna,bsseq,,,,,,,medgenome,,30x,9,60,0.3
Healthy_H3,plasma,cfdna,bsseq,,,,,,,medgenome,,30x,9,90,0.45
Healthy_H4,plasma,cfdna,bsseq,,,,,,,medgenome,,30x,7,120,0.6
Healthy_PH1,plasma,cfdna,bsseq,,PH1_R1.fastq.gz,PH1_R2.fastq.gz,f4f1dfc3f086545872458dde115d3505,100156ea7c252d57af6bcebd15997031,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,P2001083_04072020,30x,,90,0.45
Healthy_72,plasma,cfdna,bsseq,,72_R1.fastq.gz,72_R2.fastq.gz,5afa2877bb5a8cb76f6f4ac9d848132d,2fd81d516d385ac5b477226fe20f710d,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,P2001083_04072020,30x,,90,0.45
Healthy_PH4,plasma,cfdna,bsseq,,PH4_R1.fastq.gz,PH4_R2.fastq.gz,05920afb863cffb1e602c2029fa9ef99,8114fdc68b876c70b834424130595eb7,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,P2001083_04072020,30x,,90,0.45
Healthy_PH7,plasma,cfdna,bsseq,,PH7_R1.fastq.gz,PH7_R2.fastq.gz,1dc36983e2bea59f74f7b1885e39b04a,d45e75dbcf8c47745ba030e782d2e75d,Active/work/plumbing/three_batches/totprefix/instrument_data/portal.us.medgenome.com/P2001083_04072020/FASTQ,medgenome,P2001083_04072020,30x,,90,0.45
